"Year","gamma_q0","gamma_q1","gamma_q2","mean_alpha_q0","mean_alpha_q1","mean_alpha_q2","beta_q0","beta_q1","beta_q2","mean_jaccard","mean_braycurtis"
1994,11,6.10110124683723,4.56490322580645,11,6.10110124683723,4.56490322580645,1,1,1,NA,NA
1995,7,3.82025094049696,3.20741299428941,5.5,2.59747665050968,1.89040194308048,1.27272727272727,1.47075468021911,1.69668308162169,0.428571428571429,0.811475409836066
1996,8,4.05130538543383,3.15145219044251,5,3.62316599961698,3.28659891829269,1.6,1.11816720124391,0.958879458306283,0.75,0.625468164794007
1997,10,5.61339708352771,4.67816560509554,5.33333333333333,2.94592015238698,2.41548325485041,1.875,1.90548174870909,1.93674106235328,0.717592592592593,0.734878889771597
1998,9,5.12984364949622,4.49839631850509,6.5,3.82337870243053,3.19668612113817,1.38461538461538,1.34170430102442,1.40720613411474,0.555555555555556,0.614173228346457
1999,11,6.89930168381434,5.59152305542618,9,6.19901180057145,4.83688443557276,1.22222222222222,1.11296798679724,1.15601750050166,0.363636363636364,0.338775510204082
2000,12,4.43644911179825,2.64026402640264,7.5,3.76822051278768,2.98835799970176,1.6,1.17733266849509,0.883516642472603,0.75,0.85
2001,12,6.19904498279891,4.99541472201752,8.5,5.27151108816179,4.40738713356213,1.41176470588235,1.1759521850803,1.1334186379902,0.583333333333333,0.417004048582996
2002,12,5.42080135737538,4.2128391287734,12,5.42080135737538,4.2128391287734,1,1,1,NA,NA
2003,17,3.81431153006395,2.0486230636833,17,3.81431153006395,2.04862306368331,1,1,1,NA,NA
2004,23,9.44711826873469,6.67504488330341,17,7.68716824321503,5.48006826789694,1.35294117647059,1.22894646895143,1.21805870967098,0.521739130434783,0.608391608391608
2006,12,6.16318649560769,4.61398117918187,12,6.16318649560769,4.61398117918187,1,1,1,NA,NA
2007,14,8.11084359991262,7.0301775147929,9,5.09098206122054,4.21898324717778,1.55555555555556,1.59317858565938,1.6663203200666,0.714285714285714,0.779816513761468
2008,11,7.69376015629793,5.94497354497355,11,7.69376015629793,5.94497354497354,1,1,1,NA,NA
2010,38,10.0940140066105,5.84544931244004,15.3333333333333,6.15550188062973,4.13631986735775,2.47826086956522,1.63983606899294,1.41320050186884,0.699638580255588,0.586417988027291
2011,29,10.5100735121625,6.41584158415841,19,9.49916062955369,6.16747827247137,1.52631578947368,1.10642128520952,1.04026983164183,0.420914902026111,0.36186550672532
2012,16,7.37594596953054,5.31474029592026,14.5,7.26536181816299,5.32077585948014,1.10344827586207,1.01522073561307,0.998865661001464,0.1875,0.249146757679181
2013,24,8.53013584418054,4.93344293593551,14.25,6.06110071745291,4.14156053420607,1.68421052631579,1.40735754804702,1.19120386993963,0.521186241294937,0.492916758112062
2014,38,15.6758074182937,8.55284788705154,22.5,12.4525812736867,8.67454726484264,1.68888888888889,1.25884000062043,0.985970521103236,0.56125730994152,0.563653620058996
2015,28,7.14112338525276,4.54387233632244,15,6.63685632018801,4.80397768631065,1.86666666666667,1.07597980741739,0.945856253510627,0.572303252303252,0.431920791221106
2016,15,5.6015649173523,3.7812784004847,13,5.52833999992129,3.81414194524859,1.15384615384615,1.01324537156399,0.991383764622386,0.266666666666667,0.30379746835443
2017,24,10.1386315666232,7.32812951163641,13.25,7.08014762363775,5.15404487125164,1.81132075471698,1.43198025035162,1.42182105408345,0.58261367788222,0.56282003484897
2022,114,31.7796560675728,17.2225197302045,26.9770114942529,13.4750702991473,8.67127889483535,4.22582019599489,2.35840373089437,1.98615682174198,0.671926144540589,0.659159345204856
